timestamp,app_id,package_name,category,start_type,this_time_ms,total_time_ms,wait_time_ms,foreground_state,battery,charging,headphones,screen_on,time_bucket,weekend
2026-04-01 00:24:58,instagram,com.instagram.android,social,cold,3018,3246,2837,foreground,94.6,1,0,1,night,0
2026-04-01 00:32:36,whatsapp,com.whatsapp,social,cold,2046,2184,1638,foreground,94.9,1,0,1,night,0
2026-04-01 00:55:51,youtube,com.google.android.youtube,media,cold,2576,2754,2498,foreground,95.7,1,0,1,night,0
2026-04-01 02:15:51,spotify,com.spotify.music,media,cold,3266,3469,2939,foreground,96.1,1,0,1,night,0
2026-04-01 02:29:26,netflix,com.netflix.mediaclient,media,cold,3489,3816,3067,foreground,96.4,1,0,1,night,0
2026-04-01 02:41:03,gmail,com.google.android.gm,productivity,cold,2224,2385,1989,foreground,97.0,1,0,1,night,0
2026-04-01 03:01:37,slack,com.Slack,productivity,cold,3459,3837,2998,foreground,97.7,1,0,1,night,0
2026-04-01 03:10:59,chrome,com.android.chrome,utility,cold,1256,1325,1189,foreground,98.2,1,0,1,night,0
2026-04-01 03:55:34,google_maps,com.google.android.apps.maps,utility,cold,2599,2679,2495,foreground,98.8,1,0,1,night,0
2026-04-01 04:03:27,amazon,com.amazon.mShop.android.shopping,commerce,cold,2872,3128,2694,foreground,99.6,1,0,1,night,0
2026-04-01 04:10:23,phonepe,com.phonepe.app,financial,cold,1801,1922,1507,foreground,100,1,0,1,night,0
2026-04-01 04:26:48,paytm,net.one97.paytm,financial,cold,2178,2389,1712,foreground,100,1,0,1,night,0
2026-04-01 04:28:51,samsung_health,com.sec.android.app.shealth,health,cold,2303,2440,1966,foreground,100,1,0,1,night,0
2026-04-01 06:05:40,instagram,com.instagram.android,social,cold,3396,3663,3000,foreground,100,1,0,1,morning,0
2026-04-01 06:16:47,whatsapp,com.whatsapp,social,cold,1952,2118,1644,foreground,100,1,0,1,morning,0
2026-04-01 06:28:32,youtube,com.google.android.youtube,media,cold,3389,3766,3167,foreground,100,1,0,1,morning,0
2026-04-01 06:31:47,spotify,com.spotify.music,media,cold,2693,2882,2575,foreground,100,1,0,1,morning,0
2026-04-01 06:41:21,netflix,com.netflix.mediaclient,media,cold,3749,3996,2896,foreground,100,1,0,1,morning,0
2026-04-01 07:43:22,gmail,com.google.android.gm,productivity,cold,1628,1656,1324,foreground,99.9,0,0,1,morning,0
2026-04-01 08:10:28,slack,com.Slack,productivity,cold,3403,3544,3107,foreground,99.9,0,0,1,morning,0
2026-04-01 08:21:59,chrome,com.android.chrome,utility,cold,1348,1466,1307,foreground,99.7,0,1,1,morning,0
2026-04-01 08:26:29,google_maps,com.google.android.apps.maps,utility,cold,2940,3114,2606,foreground,99.7,0,0,1,morning,0
2026-04-01 08:47:18,amazon,com.amazon.mShop.android.shopping,commerce,cold,2786,3014,2392,foreground,99.6,0,1,1,morning,0
2026-04-01 09:07:05,phonepe,com.phonepe.app,financial,cold,2267,2356,2127,foreground,99.5,0,0,1,morning,0
2026-04-01 09:09:48,paytm,net.one97.paytm,financial,cold,2443,2616,2166,foreground,99.4,0,1,1,morning,0
2026-04-01 09:32:19,samsung_health,com.sec.android.app.shealth,health,cold,2014,2212,1786,foreground,99.3,0,1,1,morning,0
2026-04-01 09:46:17,instagram,com.instagram.android,social,cold,3430,3670,3010,foreground,99.2,0,0,1,morning,0
2026-04-01 10:04:30,whatsapp,com.whatsapp,social,cold,2001,2140,1697,foreground,99.2,0,0,1,morning,0
2026-04-01 10:09:48,youtube,com.google.android.youtube,media,cold,3811,3988,3574,foreground,99.1,0,0,1,morning,0
2026-04-01 10:28:02,spotify,com.spotify.music,media,cold,2749,2918,2141,foreground,99.0,0,0,1,morning,0
2026-04-01 10:48:38,netflix,com.netflix.mediaclient,media,cold,4373,4779,4241,foreground,98.9,0,0,1,morning,0
2026-04-01 11:08:45,gmail,com.google.android.gm,productivity,cold,1511,1640,1360,foreground,98.8,0,0,1,morning,0
2026-04-01 11:32:08,slack,com.Slack,productivity,cold,3709,3824,3315,foreground,98.8,0,0,1,morning,0
2026-04-01 11:46:03,chrome,com.android.chrome,utility,cold,1325,1409,1275,foreground,98.7,0,0,1,morning,0
2026-04-01 12:51:25,google_maps,com.google.android.apps.maps,utility,cold,2525,2585,2173,foreground,98.6,0,0,1,afternoon,0
2026-04-01 13:27:45,amazon,com.amazon.mShop.android.shopping,commerce,cold,1927,1961,1668,foreground,98.4,0,0,1,afternoon,0
2026-04-01 13:41:36,phonepe,com.phonepe.app,financial,cold,1386,1424,1344,foreground,98.4,0,0,1,afternoon,0
2026-04-01 13:42:03,paytm,net.one97.paytm,financial,cold,2423,2757,2350,foreground,98.3,0,0,1,afternoon,0
2026-04-01 13:57:11,samsung_health,com.sec.android.app.shealth,health,cold,1925,2037,1525,foreground,98.2,0,0,1,afternoon,0
2026-04-01 14:21:41,instagram,com.instagram.android,social,cold,3621,3901,3192,foreground,98.1,0,0,1,afternoon,0
2026-04-01 14:28:18,whatsapp,com.whatsapp,social,cold,2370,2530,1922,foreground,98.1,0,0,1,afternoon,0
2026-04-01 14:46:19,youtube,com.google.android.youtube,media,cold,3327,3661,2818,foreground,98.0,0,0,1,afternoon,0
2026-04-01 14:47:42,spotify,com.spotify.music,media,cold,2418,2691,2345,foreground,97.9,0,0,1,afternoon,0
2026-04-01 14:52:13,netflix,com.netflix.mediaclient,media,cold,4104,4340,3354,foreground,97.7,0,0,1,afternoon,0
2026-04-01 15:23:41,gmail,com.google.android.gm,productivity,cold,1780,1884,1689,foreground,97.6,0,0,1,afternoon,0
2026-04-01 15:44:12,slack,com.Slack,productivity,cold,2859,3106,2362,foreground,97.4,0,0,1,afternoon,0
2026-04-01 15:45:23,chrome,com.android.chrome,utility,cold,1129,1157,936,foreground,97.3,0,0,1,afternoon,0
2026-04-01 16:51:10,google_maps,com.google.android.apps.maps,utility,cold,2632,2745,2232,foreground,97.2,0,0,1,afternoon,0
2026-04-01 17:46:58,amazon,com.amazon.mShop.android.shopping,commerce,cold,2279,2322,2040,foreground,97.1,0,1,1,evening,0
2026-04-01 19:20:43,phonepe,com.phonepe.app,financial,cold,1912,1994,1788,foreground,97.0,0,0,1,evening,0
2026-04-01 20:17:04,paytm,net.one97.paytm,financial,cold,2327,2525,1974,foreground,96.9,0,0,1,evening,0
2026-04-01 20:30:02,samsung_health,com.sec.android.app.shealth,health,cold,2934,2971,2698,foreground,96.8,0,0,1,evening,0
2026-04-01 21:44:04,instagram,com.instagram.android,social,cold,2572,2746,2458,foreground,96.8,0,1,1,evening,0
2026-04-01 21:49:58,whatsapp,com.whatsapp,social,cold,1969,2126,1816,foreground,96.7,0,0,1,evening,0
2026-04-01 23:23:11,youtube,com.google.android.youtube,media,cold,3227,3227,2860,foreground,97.3,1,0,1,night,0
2026-04-02 00:11:10,spotify,com.spotify.music,media,cold,3394,3616,2766,foreground,97.9,1,0,1,night,0
2026-04-02 00:22:38,netflix,com.netflix.mediaclient,media,cold,4526,4700,4217,foreground,98.6,1,0,1,night,0
2026-04-02 00:46:28,gmail,com.google.android.gm,productivity,cold,1947,2100,1658,foreground,99.1,1,0,1,night,0
2026-04-02 00:54:53,slack,com.Slack,productivity,cold,3516,3695,3106,foreground,99.6,1,0,1,night,0
2026-04-02 01:00:41,chrome,com.android.chrome,utility,cold,1173,1208,1020,foreground,100,1,0,1,night,0
2026-04-02 01:11:55,google_maps,com.google.android.apps.maps,utility,cold,2984,3267,2890,foreground,100,1,0,1,night,0
2026-04-02 02:31:00,amazon,com.amazon.mShop.android.shopping,commerce,cold,3054,3319,2728,foreground,100,1,0,1,night,0
2026-04-02 02:33:58,phonepe,com.phonepe.app,financial,cold,1779,1948,1503,foreground,100,1,0,1,night,0
2026-04-02 02:44:53,paytm,net.one97.paytm,financial,cold,2329,2413,2028,foreground,100,1,0,1,night,0
2026-04-02 02:47:15,samsung_health,com.sec.android.app.shealth,health,cold,2128,2212,1699,foreground,100,1,0,1,night,0
2026-04-02 02:54:17,instagram,com.instagram.android,social,cold,3400,3575,3080,foreground,100,1,0,1,night,0
2026-04-02 02:55:26,whatsapp,com.whatsapp,social,cold,2035,2125,1685,foreground,100,1,0,1,night,0
2026-04-02 03:08:22,youtube,com.google.android.youtube,media,cold,3076,3158,2713,foreground,100,1,0,1,night,0
2026-04-02 03:18:48,spotify,com.spotify.music,media,cold,2082,2207,1837,foreground,100,1,0,1,night,0
2026-04-02 03:40:41,netflix,com.netflix.mediaclient,media,cold,3990,4260,3303,foreground,100,1,0,1,night,0
2026-04-02 04:06:32,gmail,com.google.android.gm,productivity,cold,1535,1672,1401,foreground,100,1,0,1,night,0
2026-04-02 04:46:40,slack,com.Slack,productivity,cold,2976,3140,2321,foreground,100,1,0,1,night,0
2026-04-02 04:49:38,chrome,com.android.chrome,utility,cold,1189,1326,973,foreground,100,1,0,1,night,0
2026-04-02 05:03:19,google_maps,com.google.android.apps.maps,utility,cold,3083,3119,2741,foreground,100,1,0,1,morning,0
2026-04-02 05:06:24,amazon,com.amazon.mShop.android.shopping,commerce,cold,2824,3009,2537,foreground,100,1,0,1,morning,0
2026-04-02 05:23:34,phonepe,com.phonepe.app,financial,cold,1848,1881,1628,foreground,100,1,0,1,morning,0
2026-04-02 05:24:01,paytm,net.one97.paytm,financial,cold,2071,2172,1668,foreground,100,1,0,1,morning,0
2026-04-02 07:00:38,samsung_health,com.sec.android.app.shealth,health,cold,2460,2655,2028,foreground,99.9,0,0,1,morning,0
2026-04-02 07:17:09,instagram,com.instagram.android,social,cold,3247,3383,2795,foreground,99.7,0,1,1,morning,0
2026-04-02 07:41:25,whatsapp,com.whatsapp,social,cold,2391,2588,2090,foreground,99.6,0,0,1,morning,0
2026-04-02 07:50:49,youtube,com.google.android.youtube,media,cold,3738,3852,3123,foreground,99.5,0,1,1,morning,0
2026-04-02 08:09:28,spotify,com.spotify.music,media,cold,2727,2787,2549,foreground,99.4,0,0,1,morning,0
2026-04-02 08:53:00,netflix,com.netflix.mediaclient,media,cold,4146,4281,3708,foreground,99.4,0,0,1,morning,0
2026-04-02 08:55:34,gmail,com.google.android.gm,productivity,cold,1701,1776,1424,foreground,99.3,0,0,1,morning,0
2026-04-02 09:11:18,slack,com.Slack,productivity,cold,3695,3999,3152,foreground,99.2,0,0,1,morning,0
2026-04-02 09:13:00,chrome,com.android.chrome,utility,cold,1249,1308,1040,foreground,99.1,0,0,1,morning,0
2026-04-02 10:19:20,google_maps,com.google.android.apps.maps,utility,cold,2807,3013,2683,foreground,99.0,0,0,1,morning,0
2026-04-02 10:33:59,amazon,com.amazon.mShop.android.shopping,commerce,cold,2381,2488,2226,foreground,98.9,0,0,1,morning,0
2026-04-02 10:55:10,phonepe,com.phonepe.app,financial,cold,2189,2308,1962,foreground,98.7,0,0,1,morning,0
2026-04-02 10:57:12,paytm,net.one97.paytm,financial,cold,2184,2354,2052,foreground,98.6,0,0,1,morning,0
2026-04-02 10:58:07,samsung_health,com.sec.android.app.shealth,health,cold,2784,2978,2378,foreground,98.5,0,0,1,morning,0
2026-04-02 11:21:04,instagram,com.instagram.android,social,cold,2676,2765,2297,foreground,98.4,0,0,1,morning,0
2026-04-02 11:28:59,whatsapp,com.whatsapp,social,cold,2182,2354,1866,foreground,98.3,0,0,1,morning,0
2026-04-02 11:45:32,youtube,com.google.android.youtube,media,cold,3258,3557,3110,foreground,98.3,0,0,1,morning,0
2026-04-02 11:58:49,spotify,com.spotify.music,media,cold,2359,2492,2168,foreground,98.1,0,0,1,morning,0
2026-04-02 11:59:23,netflix,com.netflix.mediaclient,media,cold,5142,5484,4561,foreground,98.0,0,0,1,morning,0
2026-04-02 12:07:08,gmail,com.google.android.gm,productivity,cold,2154,2272,1938,foreground,97.9,0,0,1,afternoon,0
2026-04-02 12:11:15,slack,com.Slack,productivity,cold,3530,3858,3020,foreground,97.8,0,0,1,afternoon,0
2026-04-02 13:20:57,chrome,com.android.chrome,utility,cold,1335,1429,1141,foreground,97.7,0,0,1,afternoon,0
2026-04-02 13:28:06,google_maps,com.google.android.apps.maps,utility,cold,2781,2936,2585,foreground,97.6,0,0,1,afternoon,0
